"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","1","OLD","20232631","미션 임파서블: 데드 레코닝 PART ONE","2023-07-12","1410050633","34.3","410798075","41.1","24019361836","141339","38313","37.2","2372369","1691","6144"
"2","2","1","OLD","20228930","엘리멘탈","2023-06-14","840807001","20.4","221139052","35.7","45834059491","87024","19660","29.2","4642480","1023","3333"
"3","3","-2","OLD","20232536","명탐정코난: 흑철의 어영","2023-07-20","698922261","17.0","-354646251","-33.7","1809800280","77634","-40299","-34.2","200220","1005","2706"
"4","4","0","OLD","20232740","바비","2023-07-19","404059751","9.8","79350280","24.4","1324514755","45083","8243","22.4","148349","748","2341"
"5","5","0","OLD","20232778","인시디어스: 빨간 문","2023-07-19","394176064","9.6","45740144","13.1","1334437327","40023","3453","9.4","138050","758","1716"
"6","6","1","OLD","20219331","여름날 우리","2021-08-25","81543278","2.0","8553882","11.7","2939111213","8635","750","9.5","300334","208","350"
"7","7","1","OLD","20218541","밀수","2023-07-26","52203000","1.3","-16730000","-24.3","334607000","5467","-1498","-21.5","34333","26","27"
"8","8","1","OLD","20232639","극장판 슈퍼윙스: 맥시멈 스피드","2023-07-20","40522154","1.0","-16960250","-29.5","127448558","4806","-2124","-30.6","14843","303","347"
"9","9","3","OLD","20232556","슈퍼 키드 헤일리","2023-07-20","36694170","0.9","22545643","159.3","59031697","3887","2081","115.2","6584","160","177"
"10","10","1","OLD","20232180","스파이더맨: 어크로스 더 유니버스","2023-06-21","29953238","0.7","7285272","32.1","9197389396","3121","752","31.7","891506","96","123"